,pos_normcdf_hmean,neg_normcdf_hmean
aaaaages,0.581310320980581,0.1976664018959571
aaaaahhh,0.16390567173594725,0.5907518864412529
aaaaahhhh,0.581310320980581,0.1976664018959571
aaaall,0.16390567173594725,0.5907518864412529
aaaand,0.16390567173594725,0.5907518864412529
aaaawww,0.581310320980581,0.1976664018959571
aaah,0.581310320980581,0.1976664018959571
aaajaayradd,0.16390567173594725,0.5907518864412529
aaargh,0.16390567173594725,0.5907518864412529
aaarrrrgghhhh,0.16390567173594725,0.5907518864412529
aaaww,0.16390567173594725,0.5907518864412529
aaawwww,0.16390567173594725,0.5907518864412529
aah,0.16390567173594725,0.5907518864412529
aargh,0.16390567173594725,0.615752592673383
aaru,0.581310320980581,0.1976664018959571
abay,0.581310320980581,0.1976664018959571
abby,0.4536093288644353,0.48013643880777057
abc,0.3690457133425946,0.5550270522447023
abcessed,0.16390567173594725,0.5907518864412529
abdomen,0.16390567173594725,0.5907518864412529
abdul,0.16390567173594725,0.5907518864412529
aber,0.581310320980581,0.1976664018959571
abigail,0.581310320980581,0.1976664018959571
ability,0.16390567173594725,0.5907518864412529
abis,0.16390567173594725,0.5907518864412529
abit,0.3195702890278771,0.5973432214933083
able,0.4623449963180085,0.7848101956852248
ablt,0.16390567173594725,0.5907518864412529
abolished,0.581310320980581,0.1976664018959571
abroad,0.581310320980581,0.1976664018959571
absolute,0.3690457133425946,0.5550270522447023
absolutely,0.6417171506751551,0.43511441597858763
absolutley,0.16390567173594725,0.5907518864412529
absorb,0.581310320980581,0.1976664018959571
absorbing,0.581310320980581,0.1976664018959571
abt,0.4159168237072703,0.5956891342690475
abused,0.16390567173594725,0.5907518864412529
ac,0.16390567173594725,0.7452026472878557
acabo,0.581310320980581,0.1976664018959571
academy,0.581310320980581,0.1976664018959571
accent,0.581310320980581,0.1976664018959571
accept,0.581310320980581,0.1976664018959571
accepted,0.6600643894977646,0.1976664018959571
access,0.48716146624963536,0.5765456457085835
accessory,0.581310320980581,0.1976664018959571
accident,0.5367048990104405,0.40277537424564336
accidentally,0.5367048990104405,0.40277537424564336
accidents,0.4536093288644353,0.48013643880777057
accom,0.581310320980581,0.1976664018959571
accomodation,0.581310320980581,0.1976664018959571
accompanied,0.16390567173594725,0.5907518864412529
accompanying,0.16390567173594725,0.5907518864412529
accomplished,0.16390567173594725,0.5907518864412529
accordance,0.16390567173594725,0.5907518864412529
according,0.47011210161583683,0.4965213271142267
account,0.5241448007022869,0.637190801483223
accountant,0.6349753473495704,0.1976664018959571
accountants,0.581310320980581,0.1976664018959571
accounting,0.6086932585600732,0.1976664018959571
accounts,0.581310320980581,0.1976664018959571
accross,0.16390567173594725,0.5907518864412529
acct,0.581310320980581,0.1976664018959571
accurate,0.6086932585600732,0.1976664018959571
accuse,0.581310320980581,0.1976664018959571
accused,0.581310320980581,0.1976664018959571
ace,0.4536093288644353,0.48013643880777057
ach,0.4536093288644353,0.48013643880777057
ache,0.220117320664042,0.762465131990622
aches,0.35047196605363873,0.6262668758230319
achet,0.16390567173594725,0.5907518864412529
achieved,0.16390567173594725,0.5907518864412529
achievement,0.581310320980581,0.1976664018959571
achievements,0.581310320980581,0.1976664018959571
achievin,0.16390567173594725,0.5907518864412529
achilles,0.16390567173594725,0.5907518864412529
aching,0.4856365921099449,0.5120839934719636
achmed,0.581310320980581,0.1976664018959571
ack,0.16390567173594725,0.615752592673383
ackin,0.581310320980581,0.1976664018959571
acknowledge,0.6086932585600732,0.1976664018959571
acknowledgement,0.581310320980581,0.1976664018959571
acland,0.581310320980581,0.1976664018959571
acm,0.581310320980581,0.1976664018959571
