,negative,positive,total
aaaaages,0,1,1
aaaaahhh,1,0,1
aaaaahhhh,0,1,1
aaaall,1,0,1
aaaand,1,0,1
aaaawww,0,1,1
aaah,0,1,1
aaajaayradd,1,0,1
aaargh,1,0,1
aaarrrrgghhhh,1,0,1
aaaww,1,0,1
aaawwww,1,0,1
aah,1,0,1
aargh,2,0,2
aaru,0,1,1
abay,0,1,1
abby,1,1,2
abc,2,1,3
abcessed,1,0,1
abdomen,1,0,1
abdul,1,0,1
aber,0,1,1
abigail,0,1,1
ability,1,0,1
abis,1,0,1
abit,3,1,4
able,25,13,38
ablt,1,0,1
abolished,0,1,1
about,213,163,376
above,0,4,4
abroad,0,1,1
absolute,2,1,3
absolutely,4,8,12
absolutley,1,0,1
absorb,0,1,1
absorbing,0,1,1
abt,5,3,8
abused,1,0,1
ac,8,0,8
acabo,0,1,1
academy,0,1,1
accent,0,1,1
accept,0,1,1
accepted,0,4,4
access,6,5,11
accessory,0,1,1
accident,1,2,3
accidentally,1,2,3
accidents,1,1,2
accom,0,1,1
accomodation,0,1,1
accompanied,1,0,1
accompanying,1,0,1
accomplished,1,0,1
accordance,1,0,1
according,2,2,4
account,11,9,20
accountant,0,3,3
accountants,0,1,1
accounting,0,2,2
accounts,0,1,1
accross,1,0,1
acct,0,1,1
accurate,0,2,2
accuse,0,1,1
accused,0,1,1
ace,1,1,2
ach,1,1,2
ache,10,1,11
aches,5,2,7
achet,1,0,1
achieved,1,0,1
achievement,0,1,1
achievements,0,1,1
achievin,1,0,1
achilles,1,0,1
aching,3,3,6
achmed,0,1,1
ack,2,0,2
ackin,0,1,1
acknowledge,0,2,2
acknowledgement,0,1,1
acland,0,1,1
acm,0,1,1
acosta,1,0,1
across,2,5,7
acting,4,2,6
action,0,3,3
actionscript,1,0,1
active,0,2,2
activist,0,1,1
activities,0,1,1
activity,0,2,2
actor,1,1,2
actress,7,0,7
actresses,1,0,1
actual,3,2,5
actually,35,32,67
actualy,0,1,1
acupuncture,1,0,1
ad,2,3,5
adam,2,1,3
adams,2,1,3
adapter,0,1,1
add,3,15,18
added,0,8,8
addict,2,3,5
addicted,1,3,4
addicting,0,7,7
addiction,1,1,2
addictive,1,3,4
addicts,0,1,1
adding,3,3,6
additions,0,1,1
additons,2,0,2
addled,0,1,1
address,4,1,5
addx,1,0,1
addy,2,0,2
adele,0,1,1
adenike,1,0,1
adik,0,1,1
adisson,0,1,1
adissonapparel,0,1,1
adium,0,1,1
adjusted,0,1,1
adjusting,0,1,1
admin,4,2,6
administrator,1,0,1
admired,2,0,2
admiring,0,1,1
admission,1,0,1
admit,3,2,5
admitted,1,0,1
adnams,0,1,1
adobe,1,1,2
adolescent,1,1,2
adorable,1,5,6
adore,2,0,2
adored,2,0,2
adrss,1,0,1
ads,1,0,1
adtech,0,1,1
adult,0,1,1
adulthood,0,1,1
adults,1,1,2
advance,0,1,1
advanced,1,2,3
advantage,0,2,2
advantages,1,0,1
adventure,2,2,4
adventures,1,1,2
advertising,0,2,2
adverts,0,2,2
advice,0,5,5
adwords,1,0,1
ae,1,0,1
aerodynamic,0,1,1
aesthetically,0,1,1
af,2,0,2
afar,0,1,1
affect,0,1,1
affected,0,1,1
affirmation,0,1,1
afford,4,1,5
afghanartistry,0,1,1
afl,0,1,1
afraid,9,4,13
african,0,1,1
after,55,44,99
afterall,0,1,1
aftermidnightproject,0,1,1
afternoon,11,12,23
afternoons,1,1,2
afterparty,0,1,1
afterwards,1,2,3
aftr,1,0,1
aftre,0,1,1
again,111,82,193
againn,0,1,1
against,6,1,7
age,18,4,22
aged,1,0,1
agen,1,1,2
agency,2,0,2
agent,0,1,1
ages,4,1,5
agghhhh,0,1,1
aggressive,0,1,1
agile,0,1,1
ago,26,14,40
agree,4,20,24
agreed,3,4,7
agrees,0,2,2
agressive,0,1,1
agua,1,0,1
ah,15,19,34
aha,2,5,7
ahah,0,1,1
ahaha,0,4,4
ahahah,1,1,2
ahahaha,0,1,1
ahahhaha,0,1,1
ahan,0,1,1
ahead,3,12,15
ahem,0,1,1
ahh,13,12,25
ahha,0,1,1
ahhaahhaha,0,1,1
ahhah,0,1,1
ahhh,6,14,20
ahhhh,4,5,9
ahhhhh,2,0,2
ahhhhhhhhhhhhh,1,0,1
ahie,1,0,1
ahm,0,1,1
ahnothing,1,0,1
ahupua,0,1,1
ai,1,2,3
aiac,1,0,1
aid,0,1,1
aided,0,1,1
aiden,0,1,1
aids,1,1,2
aiesec,0,1,1
aig,0,1,1
aight,0,2,2
aim,1,0,1
aimed,2,0,2
aiming,1,0,1
ain,1,5,6
aint,5,5,10
aintitcool,0,1,1
aior,0,1,1
aiport,0,1,1
air,10,5,15
airfiel,1,0,1
airlines,0,2,2
airplane,0,1,1
airport,3,5,8
airports,0,1,1
ais,0,1,1
aisles,0,1,1
aiya,1,0,1
aja,0,1,1
aka,1,4,5
akali,0,1,1
akimbo,1,0,1
akitas,1,0,1
ako,0,1,1
aktually,0,1,1
al,1,1,2
alabaster,2,0,2
alam,1,1,2
alameda,0,1,1
alamia,1,0,1
alan,0,1,1
alarm,1,3,4
alas,4,0,4
alaska,0,1,1
